study_id,participant,age_in_years,sex,species,number_training_trials,number_errors_post-reversal_before_the_first_solution,number_errors_post-reversal_after_the_first_solution
manrique2015age,ulla,33,f,chimpanzee,100,2,1.0
manrique2015age,pia,10,f,chimpanzee,100,6,0.0
manrique2015age,alexandra,9,f,chimpanzee,102,3,2.0
manrique2015age,annett,9,f,chimpanzee,102,12,2.0
manrique2015age,jahaga,16,f,chimpanzee,104,8,2.0
manrique2015age,riet,33,f,chimpanzee,100,15,0.0
manrique2015age,natascha,30,f,chimpanzee,100,31,
manrique2015age,corry,34,f,chimpanzee,106,19,
manrique2015age,sandra,17,f,chimpanzee,100,3,0.0
manrique2015age,lome,8,m,chimpanzee,101,18,0.0
manrique2015age,patrick,12,m,chimpanzee,100,9,2.0
manrique2015age,kara,5,f,chimpanzee,104,7,0.0
manrique2015age,kofi,5,m,chimpanzee,100,33,2.0
manrique2015age,gertrudia,16,f,chimpanzee,102,4,0.0
manrique2015age,alex,8,m,chimpanzee,108,1,2.0
manrique2015age,fifi,16,f,chimpanzee,105,4,0.0
manrique2015age,robert,35,m,chimpanzee,107,10,4.0
manrique2015age,fraukje,34,f,chimpanzee,127,19,0.0
manrique2015age,dorien,30,f,chimpanzee,101,21,0.0
manrique2015age,tai,8,f,chimpanzee,103,10,1.0
manrique2015age,frodo,16,m,chimpanzee,101,8,1.0
manrique2015age,joey,26,m,bonobo,110,15,0.0
manrique2015age,yasa,11,f,bonobo,107,13,0.0
manrique2015age,luiza,5,f,bonobo,100,17,0.0
manrique2015age,kuno,12,m,bonobo,103,7,0.0
manrique2015age,padana,11,f,orangutan,103,5,0.0
manrique2015age,dokana,18,f,orangutan,105,9,0.0
manrique2015age,raja,7,f,orangutan,102,18,
manrique2015age,pini,20,f,orangutan,101,3,0.0
manrique2015age,kila,8,f,orangutan,100,5,1.0
manrique2015age,kibara,6,f,gorilla,107,15,12.0
manrique2015age,daza,28,f,chimpanzee,102,17,9.0
manrique2015age,brigitta,48,f,chimpanzee,101,17,0.0
manrique2015age,frederike,40,f,chimpanzee,100,25,0.0
manrique2015age,jeudi,28,f,chimpanzee,105,25,
manrique2015age,suaq,5,m,orangutan,100,20,
manrique2015age,tanah,5,f,orangutan,100,26,
manrique2015age,kumili,10,f,gorilla,100,5,0.0
manrique2015age,abeeku,15,m,gorilla,103,8,1.0
manrique2015age,lexi,15,f,bonobo,108,4,6.0
manrique2015age,jasongo,24,m,bonobo,116,8,0.0
manrique2015age,fimi,6,f,bonobo,103,19,5.0
manrique2015age,gemena,9,f,bonobo,100,7,4.0
