study_id,experiment,participant,age_in_years,sex,species,trial,5_min_ice_cube,5_min_grape,1_hour_ice_cube,1_hour_grape
martin2010keeping,2,jahaga,14,f,chimpanzee,1,1.0,0.0,0.0,1.0
martin2010keeping,2,jahaga,14,f,chimpanzee,2,0.0,1.0,0.0,1.0
martin2010keeping,2,jahaga,14,f,chimpanzee,3,1.0,0.0,0.0,1.0
martin2010keeping,2,jahaga,14,f,chimpanzee,4,0.0,1.0,0.0,1.0
martin2010keeping,2,jahaga,14,f,chimpanzee,5,1.0,0.0,0.0,1.0
martin2010keeping,2,jahaga,14,f,chimpanzee,6,0.0,1.0,0.0,1.0
martin2010keeping,2,fifi,14,f,chimpanzee,1,1.0,0.0,0.0,1.0
martin2010keeping,2,fifi,14,f,chimpanzee,2,1.0,0.0,0.0,1.0
martin2010keeping,2,fifi,14,f,chimpanzee,3,1.0,0.0,0.0,1.0
martin2010keeping,2,fifi,14,f,chimpanzee,4,0.0,0.0,0.0,1.0
martin2010keeping,2,fifi,14,f,chimpanzee,5,1.0,0.0,1.0,0.0
martin2010keeping,2,fifi,14,f,chimpanzee,6,0.0,1.0,0.0,0.0
martin2010keeping,2,limbuko,12,m,bonobo,1,1.0,0.0,1.0,0.0
martin2010keeping,2,limbuko,12,m,bonobo,2,0.0,1.0,0.0,1.0
martin2010keeping,2,limbuko,12,m,bonobo,3,0.0,1.0,1.0,0.0
martin2010keeping,2,limbuko,12,m,bonobo,4,1.0,0.0,1.0,0.0
martin2010keeping,2,limbuko,12,m,bonobo,5,0.0,1.0,0.0,1.0
martin2010keeping,2,limbuko,12,m,bonobo,6,0.0,1.0,0.0,1.0
martin2010keeping,2,kuno,11,m,bonobo,1,0.0,1.0,0.0,1.0
martin2010keeping,2,kuno,11,m,bonobo,2,1.0,0.0,1.0,0.0
martin2010keeping,2,kuno,11,m,bonobo,3,1.0,0.0,0.0,1.0
martin2010keeping,2,kuno,11,m,bonobo,4,1.0,0.0,0.0,1.0
martin2010keeping,2,kuno,11,m,bonobo,5,1.0,0.0,0.0,1.0
martin2010keeping,2,kuno,11,m,bonobo,6,0.0,1.0,0.0,1.0
martin2010keeping,2,padana,10,f,orangutan,1,1.0,0.0,1.0,0.0
martin2010keeping,2,padana,10,f,orangutan,2,1.0,0.0,0.0,0.0
martin2010keeping,2,padana,10,f,orangutan,3,1.0,0.0,0.0,0.0
martin2010keeping,2,padana,10,f,orangutan,4,1.0,0.0,0.0,1.0
martin2010keeping,2,padana,10,f,orangutan,5,0.0,0.0,0.0,1.0
martin2010keeping,2,padana,10,f,orangutan,6,1.0,0.0,1.0,0.0
