study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,latency_to_reach_or_touch,duration_of_action_with_object
uher2008coherence,11,novel_object_test,2005,joey,22,m,bonobo,1,1,4.16,122.96
uher2008coherence,11,novel_object_test,2005,joey,22,m,bonobo,2,1,2.32,12.68
uher2008coherence,11,novel_object_test,2005,joey,22,m,bonobo,3,2,1.52,75.48
uher2008coherence,11,novel_object_test,2005,joey,22,m,bonobo,4,2,19.12,99.48
uher2008coherence,11,novel_object_test,2005,kuno,8,m,bonobo,1,1,2.04,354.88
uher2008coherence,11,novel_object_test,2005,kuno,8,m,bonobo,2,1,1.88,342.92
uher2008coherence,11,novel_object_test,2005,kuno,8,m,bonobo,3,2,2.32,309.76
uher2008coherence,11,novel_object_test,2005,kuno,8,m,bonobo,4,2,85.04,20.2
uher2008coherence,11,novel_object_test,2005,limbuko,9,m,bonobo,1,1,0.0,0.0
uher2008coherence,11,novel_object_test,2005,limbuko,9,m,bonobo,2,1,2.24,141.16
uher2008coherence,11,novel_object_test,2005,limbuko,9,m,bonobo,3,2,7.2,592.16
uher2008coherence,11,novel_object_test,2005,limbuko,9,m,bonobo,4,2,5.0,79.8
uher2008coherence,11,novel_object_test,2005,yasa,7,f,bonobo,1,1,2.44,79.12
uher2008coherence,11,novel_object_test,2005,yasa,7,f,bonobo,2,1,11.2,151.2
uher2008coherence,11,novel_object_test,2005,yasa,7,f,bonobo,3,2,2.08,171.44
uher2008coherence,11,novel_object_test,2005,yasa,7,f,bonobo,4,2,7.2,106.36
uher2008coherence,11,novel_object_test,2005,frodo,11,m,chimpanzee,1,1,24.32,15.8
uher2008coherence,11,novel_object_test,2005,frodo,11,m,chimpanzee,2,1,600.0,0.0
uher2008coherence,11,novel_object_test,2005,frodo,11,m,chimpanzee,3,2,22.6,0.6
uher2008coherence,11,novel_object_test,2005,frodo,11,m,chimpanzee,4,2,5.84,2.24
uher2008coherence,11,novel_object_test,2005,fraukje,28,f,chimpanzee,1,1,2.52,30.04
uher2008coherence,11,novel_object_test,2005,fraukje,28,f,chimpanzee,2,1,2.8,156.28
uher2008coherence,11,novel_object_test,2005,fraukje,28,f,chimpanzee,3,2,2.76,125.88
uher2008coherence,11,novel_object_test,2005,fraukje,28,f,chimpanzee,4,2,2.2,61.72
uher2008coherence,11,novel_object_test,2005,robert,29,m,chimpanzee,1,1,,
uher2008coherence,11,novel_object_test,2005,robert,29,m,chimpanzee,2,1,,
uher2008coherence,11,novel_object_test,2005,robert,29,m,chimpanzee,3,2,16.24,113.96
uher2008coherence,11,novel_object_test,2005,robert,29,m,chimpanzee,4,2,2.88,9.76
uher2008coherence,11,novel_object_test,2005,sandra,11,f,chimpanzee,1,1,11.84,0.92
uher2008coherence,11,novel_object_test,2005,sandra,11,f,chimpanzee,2,1,8.96,2.04
uher2008coherence,11,novel_object_test,2005,sandra,11,f,chimpanzee,3,2,6.84,8.16
uher2008coherence,11,novel_object_test,2005,sandra,11,f,chimpanzee,4,2,6.24,2.12
uher2008coherence,11,novel_object_test,2005,bebe,25,f,gorilla,1,1,5.56,83.28
uher2008coherence,11,novel_object_test,2005,bebe,25,f,gorilla,2,1,7.76,10.36
uher2008coherence,11,novel_object_test,2005,bebe,25,f,gorilla,3,2,11.52,144.72
uher2008coherence,11,novel_object_test,2005,bebe,25,f,gorilla,4,2,7.48,84.92
uher2008coherence,11,novel_object_test,2005,n’diki,27,f,gorilla,1,1,5.48,2.36
uher2008coherence,11,novel_object_test,2005,n’diki,27,f,gorilla,2,1,6.08,1.6
uher2008coherence,11,novel_object_test,2005,n’diki,27,f,gorilla,3,2,8.52,9.16
uher2008coherence,11,novel_object_test,2005,n’diki,27,f,gorilla,4,2,4.48,13.64
uher2008coherence,11,novel_object_test,2005,ruby_b'windi,7,f,gorilla,1,1,22.28,11.24
uher2008coherence,11,novel_object_test,2005,ruby_b'windi,7,f,gorilla,2,1,13.8,18.72
uher2008coherence,11,novel_object_test,2005,ruby_b'windi,7,f,gorilla,3,2,9.48,583.36
uher2008coherence,11,novel_object_test,2005,ruby_b'windi,7,f,gorilla,4,2,5.2,210.32
uher2008coherence,11,novel_object_test,2005,viringika,9,f,gorilla,1,1,12.92,19.84
uher2008coherence,11,novel_object_test,2005,viringika,9,f,gorilla,2,1,61.2,3.56
uher2008coherence,11,novel_object_test,2005,viringika,9,f,gorilla,3,2,22.4,18.6
uher2008coherence,11,novel_object_test,2005,viringika,9,f,gorilla,4,2,3.4,350.44
uher2008coherence,11,novel_object_test,2005,dokana,16,f,orangutan,1,1,6.36,193.84
uher2008coherence,11,novel_object_test,2005,dokana,16,f,orangutan,2,1,6.24,348.88
uher2008coherence,11,novel_object_test,2005,dokana,16,f,orangutan,3,2,3.28,186.56
uher2008coherence,11,novel_object_test,2005,dokana,16,f,orangutan,4,2,33.68,186.96
uher2008coherence,11,novel_object_test,2005,dunja,31,f,orangutan,1,1,3.28,59.24
uher2008coherence,11,novel_object_test,2005,dunja,31,f,orangutan,2,1,7.36,592.52
uher2008coherence,11,novel_object_test,2005,dunja,31,f,orangutan,3,2,7.08,56.12
uher2008coherence,11,novel_object_test,2005,dunja,31,f,orangutan,4,2,4.08,79.44
uher2008coherence,11,novel_object_test,2005,padana,7,f,orangutan,1,1,3.04,411.28
uher2008coherence,11,novel_object_test,2005,padana,7,f,orangutan,2,1,3.84,533.04
uher2008coherence,11,novel_object_test,2005,padana,7,f,orangutan,3,2,3.52,530.04
uher2008coherence,11,novel_object_test,2005,padana,7,f,orangutan,4,2,3.08,576.16
uher2008coherence,11,novel_object_test,2005,pini,16,f,orangutan,1,1,8.96,288.0
uher2008coherence,11,novel_object_test,2005,pini,16,f,orangutan,2,1,11.68,580.64
uher2008coherence,11,novel_object_test,2005,pini,16,f,orangutan,3,2,10.32,585.6
uher2008coherence,11,novel_object_test,2005,pini,16,f,orangutan,4,2,3.92,593.12
